Position (mm), Angle (deg), Efficiency
47, 0, 0.90001
47, 10, 0.00007
47, 20, 0.91567
47, 30, 0.92550
47, 40, 0.93199
47, 50, 0.93586
47, 60, 0.93551
47, 70, 0.91730
47, 80, 0.84001
48, 0, 0.89994
48, 10, 0.89951
48, 20, 0.00006
48, 30, 0.92552
48, 40, 0.93223
48, 50, 0.93613
48, 60, 0.93514
48, 70, 0.91961
48, 80, 0.83963
49, 0, 0.89867
49, 10, 0.90092
49, 20, 0.00017
49, 30, 0.91951
49, 40, 0.92865
49, 50, 0.93450
49, 60, 0.93400
49, 70, 0.91660
49, 80, 0.84160
50, 0, 0.89753
50, 10, 0.90045
50, 20, 0.00010
50, 30, 0.91820
50, 40, 0.92896
50, 50, 0.93396
50, 60, 0.93421
50, 70, 0.91739
50, 80, 0.84304
51, 0, 0.90045
51, 10, 0.90268
51, 20, 0.00089
51, 30, 0.91543
51, 40, 0.92947
51, 50, 0.93406
51, 60, 0.93426
51, 70, 0.91913
51, 80, 0.84168
52, 0, 0.89734
52, 10, 0.89948
52, 20, 0.00008
52, 30, 0.91253
52, 40, 0.92504
52, 50, 0.93079
52, 60, 0.93259
52, 70, 0.91703
52, 80, 0.84349
53, 0, 0.00000
53, 10, 0.90040
53, 20, 0.00000
53, 30, 0.00011
53, 40, 0.92422
53, 50, 0.93102
53, 60, 0.93216
53, 70, 0.91730
53, 80, 0.84765
54, 0, 0.00000
54, 10, 0.89867
54, 20, 0.89942
54, 30, 0.00005
54, 40, 0.91990
54, 50, 0.92976
54, 60, 0.93179
54, 70, 0.91755
54, 80, 0.84582
55, 0, 0.00000
55, 10, 0.89727
55, 20, 0.90046
55, 30, 0.00021
55, 40, 0.91989
55, 50, 0.92997
55, 60, 0.93073
55, 70, 0.91723
55, 80, 0.84753
56, 0, 0.00000
56, 10, 0.00000
56, 20, 0.90080
56, 30, 0.00025
56, 40, 0.91615
56, 50, 0.92692
56, 60, 0.92908
56, 70, 0.91921
56, 80, 0.85070
57, 0, 0.00000
57, 10, 0.00000
57, 20, 0.89877
57, 30, 0.00015
57, 40, 0.91433
57, 50, 0.92595
57, 60, 0.92971
57, 70, 0.91914
57, 80, 0.85139
58, 0, 0.00000
58, 10, 0.00000
58, 20, 0.89953
58, 30, 0.00000
58, 40, 0.91372
58, 50, 0.92342
58, 60, 0.92798
58, 70, 0.91718
58, 80, 0.85370
59, 0, 0.00000
59, 10, 0.00000
59, 20, 0.00217
59, 30, 0.00002
59, 40, 0.00009
59, 50, 0.92209
59, 60, 0.92873
59, 70, 0.91834
59, 80, 0.85566
60, 0, 0.00000
60, 10, 0.00000
60, 20, 0.00180
60, 30, 0.90062
60, 40, 0.00009
60, 50, 0.92033
60, 60, 0.92669
60, 70, 0.91606
60, 80, 0.85335
61, 0, 0.00000
61, 10, 0.00000
61, 20, 0.00000
61, 30, 0.90022
61, 40, 0.00010
61, 50, 0.91816
61, 60, 0.92705
61, 70, 0.91746
61, 80, 0.85603
62, 0, 0.00000
62, 10, 0.00000
62, 20, 0.00000
62, 30, 0.00000
62, 40, 0.00015
62, 50, 0.91749
62, 60, 0.92375
62, 70, 0.91788
62, 80, 0.85741
63, 0, 0.00000
63, 10, 0.00000
63, 20, 0.00000
63, 30, 0.00000
63, 40, 0.00015
63, 50, 0.91504
63, 60, 0.92555
63, 70, 0.91582
63, 80, 0.85784
64, 0, 0.00000
64, 10, 0.00000
64, 20, 0.00000
64, 30, 0.00212
64, 40, 0.00015
64, 50, 0.91430
64, 60, 0.92354
64, 70, 0.91608
64, 80, 0.85853
65, 0, 0.00000
65, 10, 0.00000
65, 20, 0.00000
65, 30, 0.00185
65, 40, 0.00013
65, 50, 0.91312
65, 60, 0.92236
65, 70, 0.91730
65, 80, 0.85866
66, 0, 0.00000
66, 10, 0.00000
66, 20, 0.00000
66, 30, 0.00195
66, 40, 0.07472
66, 50, 0.91018
66, 60, 0.92080
66, 70, 0.91628
66, 80, 0.86133
67, 0, 0.00000
67, 10, 0.00000
67, 20, 0.00000
67, 30, 0.00000
67, 40, 0.00174
67, 50, 0.00015
67, 60, 0.91874
67, 70, 0.91574
67, 80, 0.86094
68, 0, 0.00000
68, 10, 0.00000
68, 20, 0.00000
68, 30, 0.00000
68, 40, 0.00000
68, 50, 0.00015
68, 60, 0.91658
68, 70, 0.91534
68, 80, 0.86112
69, 0, 0.00000
69, 10, 0.00000
69, 20, 0.00000
69, 30, 0.00001
69, 40, 0.00000
69, 50, 0.00014
69, 60, 0.91588
69, 70, 0.91489
69, 80, 0.86347
70, 0, 0.00000
70, 10, 0.00000
70, 20, 0.00000
70, 30, 0.00000
70, 40, 0.00000
70, 50, 0.00020
70, 60, 0.91398
70, 70, 0.91403
70, 80, 0.86274
71, 0, 0.00000
71, 10, 0.00000
71, 20, 0.00000
71, 30, 0.00000
71, 40, 0.00000
71, 50, 0.61888
71, 60, 0.91363
71, 70, 0.91593
71, 80, 0.86687
72, 0, 0.00000
72, 10, 0.00000
72, 20, 0.00000
72, 30, 0.00000
72, 40, 0.00000
72, 50, 0.62797
72, 60, 0.91092
72, 70, 0.91352
72, 80, 0.86574
73, 0, 0.00000
73, 10, 0.00000
73, 20, 0.00000
73, 30, 0.00000
73, 40, 0.00000
73, 50, 0.63517
73, 60, 0.91147
73, 70, 0.91179
73, 80, 0.86667
74, 0, 0.00000
74, 10, 0.00000
74, 20, 0.00000
74, 30, 0.00000
74, 40, 0.00000
74, 50, 0.64690
74, 60, 0.90969
74, 70, 0.91121
74, 80, 0.86628
75, 0, 0.00000
75, 10, 0.00000
75, 20, 0.00000
75, 30, 0.00000
75, 40, 0.00000
75, 50, 0.65233
75, 60, 0.90737
75, 70, 0.91165
75, 80, 0.86709
76, 0, 0.00000
76, 10, 0.00000
76, 20, 0.00000
76, 30, 0.00000
76, 40, 0.00000
76, 50, 0.65821
76, 60, 0.90602
76, 70, 0.91191
76, 80, 0.86947
77, 0, 0.00000
77, 10, 0.00000
77, 20, 0.00000
77, 30, 0.00000
77, 40, 0.00000
77, 50, 0.00193
77, 60, 0.00014
77, 70, 0.91180
77, 80, 0.86836
78, 0, 0.00000
78, 10, 0.00000
78, 20, 0.00000
78, 30, 0.00000
78, 40, 0.00000
78, 50, 0.00192
78, 60, 0.77716
78, 70, 0.90975
78, 80, 0.86876
79, 0, 0.00000
79, 10, 0.00000
79, 20, 0.00000
79, 30, 0.00000
79, 40, 0.00000
79, 50, 0.00196
79, 60, 0.78283
79, 70, 0.90703
79, 80, 0.86978
80, 0, 0.00000
80, 10, 0.00000
80, 20, 0.00000
80, 30, 0.00000
80, 40, 0.00000
80, 50, 0.00000
80, 60, 0.78935
80, 70, 0.90682
80, 80, 0.87035
81, 0, 0.00000
81, 10, 0.00000
81, 20, 0.00000
81, 30, 0.00000
81, 40, 0.00000
81, 50, 0.00000
81, 60, 0.79437
81, 70, 0.90692
81, 80, 0.87121
82, 0, 0.00000
82, 10, 0.00000
82, 20, 0.00000
82, 30, 0.00000
82, 40, 0.00000
82, 50, 0.00000
82, 60, 0.80078
82, 70, 0.90670
82, 80, 0.87220
83, 0, 0.00000
83, 10, 0.00000
83, 20, 0.00000
83, 30, 0.00000
83, 40, 0.00000
83, 50, 0.00000
83, 60, 0.80447
83, 70, 0.90327
83, 80, 0.87271
84, 0, 0.00000
84, 10, 0.00000
84, 20, 0.00000
84, 30, 0.00000
84, 40, 0.00000
84, 50, 0.00000
84, 60, 0.81113
84, 70, 0.90168
84, 80, 0.87170
85, 0, 0.00000
85, 10, 0.00000
85, 20, 0.00000
85, 30, 0.00000
85, 40, 0.00000
85, 50, 0.00094
85, 60, 0.81352
85, 70, 0.90280
85, 80, 0.87352
86, 0, 0.00000
86, 10, 0.00000
86, 20, 0.00000
86, 30, 0.00000
86, 40, 0.00000
86, 50, 0.00105
86, 60, 0.81850
86, 70, 0.90254
86, 80, 0.87398
87, 0, 0.00000
87, 10, 0.00000
87, 20, 0.00000
87, 30, 0.00000
87, 40, 0.00000
87, 50, 0.00083
87, 60, 0.82150
87, 70, 0.89928
87, 80, 0.87388
88, 0, 0.00000
88, 10, 0.00000
88, 20, 0.00000
88, 30, 0.00000
88, 40, 0.00000
88, 50, 0.00000
88, 60, 0.82613
88, 70, 0.89942
88, 80, 0.87224
89, 0, 0.00000
89, 10, 0.00000
89, 20, 0.00000
